screen_name	user_id	tweet_count	story_count	stories_comma_separated
Jenn_Abrams	2882331822	248	144	9101351936,6691140623,7371058705,4841101231,7771229726,9511162912,817603110,565834796,357578800,498989151,958842434,616337815,265510982,485436494,716946518,366952536,4471005276,1121341533,242805349,2941038179,8091298917,629338214,781754897,132691560,976845929,2261001836,174638191,5261406320,991629425,681814133,7811248759,348844669,4421125761,579566724,323528839,482567276,661936786,582457493,431468185,6801174682,959769711,277918876,835766384,639546907,898630822,782947185,484821672,4831057579,875529390,1801131186,3491139254,760804540,5261047413,1101160992,812639426,663940807,862484168,8951128782,903312592,284607188,4161165530,176370911,966531296,6831193826,660727163,293988581,7781170412,2761222898,961964277,2531236600,878598393,9521177854,2851245311,424876288,1241264386,4091283718,592680206,8251190546,421371158,569840407,9211343643,4781158362,5271109922,3591233827,860874539,5541371181,8371221296,7171400497,462776628,9761124664,861405433,655486780,261532991,6411226434,2901228881,421454563,477599573,5111266657,903482210,5961004899,9491237221,207610726,479597934,812975985,293833193,9171164536,882313823,738739579,1491133308,9911201671,737589643,3681215884,408828994,470565783,488830365,538966434,456437157,644593574,368669340,9591048621,4001003439,8781153712,593492412,8231029693,6781268418,900779460,320640969,327757258,188967884,3771110865,3571278805,186854649,7791112153,262729690,131443168,825278440,5091099625,502590119,656554476,245687278,4251092648,5731267571,559902206,4621002239
KansasDailyNews	2587843805	165	114	201674752,147909124,2581297669,957307910,6401080841,6351259659,228344336,414602265,445659677,7771229726,271387142,6411066920,7651209263,357578800,3811107423,813622333,323802689,7181007439,585514587,2691180636,747536990,498989151,716563555,629338214,959769711,732852332,174638191,294340722,7841015930,8301335743,390692476,6971137153,9871042182,518978191,661936786,5191199769,413912219,159686303,832618165,3491139254,944827252,721895615,269825728,487991499,903312592,739465939,655442648,684890843,966531296,325341412,400583401,7781170412,955645167,489496275,840897785,1411412734,424876288,7661019947,532708620,592680206,236609297,685817619,5581300504,2101059873,527932195,984767780,860874539,105648945,9761124664,816785209,5131239230,261532991,449794368,190816579,835557702,348675915,6481127759,3671289681,345894739,3651214687,4621402464,799649160,782947185,2241098100,318851454,155892608,3571040642,3991299972,4291010951,2961082248,494272393,942494604,616337815,538966434,644593574,555617711,495545783,8231029693,4661336511,2971404233,188967884,256383906,6441060307,861405433,7791112153,991925211,268384732,989342175,825278440,277838825,245687278,579832822,5251089401,3771181567
TEN_GOP	4224729994	519	101	9101351936,3161251337,8411192345,6141308958,9251362850,2471171631,1021427766,9891151419,7911363649,140846662,9361372751,956882521,8691403358,498989151,9691358304,5851211880,295811690,5261406320,7811248759,348844669,8171378310,6481194123,1971249944,8361204761,6801174682,3741049500,7951213214,2981334694,4251092648,7551081130,4831057579,7771229726,8301335743,487991499,4161165530,6851392731,1911173860,1211172585,7781170412,2761222898,186854649,9521177854,2471216903,7651209263,2541291786,1731254539,2191388952,5651330329,6101391130,9211343643,3511353636,9871042182,8601305894,6081285418,8281346356,191888184,781893945,7561244475,5251195721,276898639,314857812,2801223509,4231198553,4131163483,3651214687,5111266657,8021262180,1011247508,3031279483,3911263100,3571040642,3991299972,6611196295,2961082248,3681215884,9841185677,6611310995,7991119764,8281280409,488830365,2011273120,3941207982,3991393206,4661336511,6781268418,6431306691,2231340574,3301307335,7701031888,9181303763,8701316574,2181027300,1181376998,5581300504,3351250928,5731267571,9471197686,1581348343,1501232634,5151157930,8381225301
TodayNYCity	2752677905	151	93	201674752,147909124,271387142,483501399,228344336,639546907,817603110,357578800,732852332,920537144,323802689,948790859,253665880,747536990,716563555,824660582,732544619,977906796,959769711,593678448,294340722,390692476,394339436,412459659,518978191,582457493,174638191,701526175,313535649,782947185,484821672,174718131,990509236,760804540,721895615,269825728,862484168,575796426,487991499,489496275,655442648,819440864,497576162,325341412,293988581,824657640,906673898,840897785,448939770,443623675,493734679,685817619,325646614,569840407,527932195,811717417,860874539,868972335,105648945,130363702,261532991,449794368,966531296,942494604,476849482,348675915,477599573,283525463,825758558,487899999,903482210,641644394,479597934,812975985,348650369,593993602,725887884,832910736,387579805,413912219,636979625,731668409,159686303,477651409,878598393,677653900,991925211,989342175,277838825,245687278,579832822,905394684,559902206
NewOrleansON	2530830345	169	92	201674752,147909124,957307910,961283756,599826954,228344336,414602265,131569186,817603110,920537144,429343808,323802689,485436494,253665880,747536990,716563555,629338214,732544619,394339436,174638191,294340722,390692476,3691069568,732852332,661936786,582457493,959769711,159686303,772693157,746275500,174718131,832618165,3491139254,269825728,812639426,862484168,575796426,681395407,903312592,284607188,655442648,684890843,721310428,6411154141,819440864,325341412,5291035893,840897785,448939770,443623675,432493310,532708620,592680206,236609297,685817619,325646614,527932195,860874539,341284159,190816579,747382596,835557702,348675915,6481127759,474789348,825758558,641644394,345483115,944827252,660727163,155892608,799649160,942494604,616337815,489616285,256383906,413912219,456437157,555617711,8781153712,900779460,861405433,449721305,991925211,268384732,989342175,131443168,519231972,245687278,579832822,433373690,905394684
DailySanFran	2495567768	99	77	424876288,147909124,4291010951,799649160,494272393,599826954,737589643,942494604,824660582,592680206,363329423,228344336,236609297,106513170,685817619,7841015930,259990178,959769711,256383906,5291035893,456437157,502590119,860874539,357578800,174718131,990509236,852667702,537654708,585514587,989342175,8231029693,721895615,448939770,323802689,487899999,190816579,747382596,125711301,532708620,487991499,188967884,384333261,485436494,538966434,345894739,840897785,268334806,816785209,449721305,684890843,268384732,433373690,341701854,772693157,131443168,832910736,977906796,716563555,325341412,9601021157,629338214,825278440,390692476,394339436,474789348,245687278,174638191,782947185,294340722,944827252,681814133,5331020918,186854649,455499898,141613947,267330300,432493310
WashingtOnline	2743327187	95	70	424876288,878835840,446935810,147909124,8171378310,977906796,677653900,868999950,832910736,236609297,468768274,190816579,7991119764,7781170412,325646614,616337815,741942296,8281280409,174638191,368669340,387579805,7771229726,131569186,3591233827,957307910,817603110,294340722,8781153712,105648945,537654708,825758558,3491139254,920537144,731668409,8231029693,994672192,323802689,525670339,125711301,862484168,942494604,348675915,903482210,903312592,394339436,477599573,325341412,684890843,747536990,989342175,639546907,228344336,497576162,990509236,1911173860,629338214,824660582,641644394,732852332,548976621,959769711,2761222898,256671348,432493310,579832822,878598393,433373690,738739579,390692476,9521177854
PigeonToday	2912754262	91	68	7661019947,579566724,9871042182,732852332,688495938,781754897,661936786,470565783,414602265,174638191,945573148,488830365,538966434,293833193,984767780,271387142,817603110,991629425,405962536,277918876,535631531,565834796,171704370,387579805,746974770,832618165,190473146,445659677,593492412,507619261,812639426,716563555,835557702,862484168,320640969,487991499,915960396,7701031888,511959890,739465939,477599573,474789348,262729690,502590119,782947185,945955552,345574369,903482210,2941038179,614391652,9601021157,860874539,132691560,804985321,898466411,482567276,548976621,8231029693,812975985,944827252,961964277,493963894,368919273,186854649,687628922,738739579,390692476,559902206
AmelieBaldwin	1679279490	158	64	5191199769,227434242,8991220611,6441359877,4091283718,2471216903,6481194123,3681215884,639546907,9151345423,9031282968,8251190546,1011247508,7641344150,5651330329,5581300504,8361204761,3571278805,9211343643,6331166364,8501184157,7771229726,1101160992,3591233827,6611196295,6451159943,875529390,2471171631,3901218867,8281346356,323528839,593492412,485905725,8301335743,7911363649,6781268418,6431306691,3911352263,5251195721,469907255,1731254539,3461295822,8411192345,2801223509,3511353636,4781158362,8701316574,9691358304,5111266657,2931333218,5831261923,8021262180,9491237221,781754897,3911263100,1951191914,681814133,9471197686,2001329271,9171164536,6831193826,2851245311,1491133308,3771181567
ChicagoDailyNew	2547141851	75	63	155892608,8211121472,3331256708,325646614,957307910,725887884,449794368,236609297,685817619,421371158,7791112153,147909124,445659677,9101351936,2101059873,9251362850,456437157,811717417,746275500,387579805,357578800,731668409,878598393,8281346356,130363702,816785209,861405433,120362941,8301335743,994672192,7911363649,348675915,3491139254,487991499,903312592,716563555,284607188,477599573,4541253975,339456856,474789348,772693157,825758558,176370911,131443168,448799713,990509236,325341412,824660582,641644394,572774378,732852332,782947185,294340722,201674752,559902206,634572150,5251089401,433373690,4661336511,390692476,906673898,318851454
